timestamp,voc,sound_pressure_level,indoor_relative_humidity,air_temperature,illuminance,pm2.5,indoor_co2,wifi_connected_devices,ceiling_fan_energy,lighting_energy,plug_load_energy,chilled_water_energy,fcu_fan_energy,temp_setpoint,fcu_fan_speed,supply_air_pressure,supply_air_temperature,baromatic_pressure,dry_bulb_temp,global_horizontal_solar_radiation,wind_direction,wind_speed,outdoor_co2,rainfall_raw,outdoor_relative_humidity,occupant_presence,occupant_count
2021-09-07 00:00 +08:00,20.0,48.81999969,72.75533295,26.66866684,0.0,4.0,430.1000061000001,0.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,0.6376795,26.399040000000003,1005.1983640000001,26.10163116,0.0,108.09297179999999,0.189999998,463.0935364,24.4659462,97.70488739,0,0
2021-09-07 00:05 +08:00,20.0,48.43333435,70.09266663,26.44833374,0.986666679,3.7666666510000004,427.2666626,0.0,0.005087000000003172,0.011399999999412103,0.03905999999915366,0.0,0.0,25.9,0.0,0.6376795,26.399040000000003,1005.198425,26.10161591,1.0,91.17533112,0.15210126300000001,462.09631349999995,24.4659462,97.40485382,0,0
2021-09-07 00:10 +08:00,20.0,51.75333405,70.66999817,26.28100014,6.769999981000001,3.533333302,424.46667479999996,0.0,0.004882000000179687,0.00976000000082422,0.03825000000142609,0.0,0.0,25.9,0.0,0.6376795,26.399040000000003,1005.2000119999999,26.10000038,1.0,88.30000305,0.150000006,463.47607419999997,24.4659462,97.40000153,0,0
2021-09-07 00:15 +08:00,20.0,49.68999863,74.74299622,26.49266624,6.983333111,3.700000048,422.3999938999999,0.0,0.005086999999548425,0.011389999999664724,0.03905999999915366,0.0,0.0,25.9,0.0,0.6376795,26.520190000000003,1005.2000119999999,26.10000038,1.0,109.6999969,0.150000006,462.88626100000005,24.4659462,97.29837799,0,0
2021-09-07 00:20 +08:00,20.0,49.22068787,74.72000122,26.35620689,6.979310513,3.241379261,422.5172424,0.0,0.004883000000518223,0.011399999999412103,0.0382499999996071,0.0,0.0,26.0,0.0,0.6376795,26.520190000000003,1005.003235,26.10162163,1.0,211.60000609999997,0.150000006,462.49615480000006,24.4659462,97.40324402,0,0
2021-09-07 00:25 +08:00,20.0,49.86000061,71.93166351,26.17933273,8.350000381000001,3.0666666030000003,424.7333374,0.0,0.0050859999996646366,0.00976000000082422,0.03907000000072003,0.0,0.0,26.0,0.0,0.6376795,26.641309999999997,1005.0,26.10162544,1.0,211.60000609999997,0.150000006,464.26611330000003,24.4659462,97.59999847,0,0
2021-09-07 00:30 +08:00,20.0,50.1566658,74.32099915,26.45299911,7.406666756,3.099999905,422.96667479999996,0.0,0.005086000000119384,0.011399999999412103,0.03823999999985972,0.0,0.0,26.0,0.0,0.6376795,26.762490000000003,1005.0,26.10000038,1.0,260.9851685,0.150000006,462.68957520000004,24.4659462,97.59999847,0,0
2021-09-07 00:35 +08:00,20.0,50.65333176,75.30833435,26.43133354,8.46333313,3.033333302,425.16665650000004,0.0,0.0048830000000634755,0.011389999999664724,0.03907000000072003,0.0,0.0,26.0,0.0,0.6376795,26.762490000000003,1005.0,26.10000038,1.0,354.5023193,0.129999995,462.4994202,24.4659462,97.19999695,0,0
2021-09-07 00:40 +08:00,20.0,50.62142944,72.04178619,26.09892845,10.05000019,3.25,424.1785583000001,0.0,0.005086000000119384,0.00976000000082422,0.0382499999996071,0.0,0.0,26.0,0.0,0.6376795,26.762490000000003,1004.996765,26.20000076,2.0,272.54431150000005,0.209999993,464.47586060000003,24.4659462,97.19999695,0,0
2021-09-07 00:45 +08:00,20.0,50.43000031,73.16699982,26.30266762,8.163332939,3.200000048,425.3999938999999,0.0,0.004882999999608728,0.011399999999412103,0.03905999999915366,0.0,0.0,26.0,0.0,0.6376795,26.762490000000003,1004.900024,26.20000076,1.01632762,19.20468712,0.408367246,462.30926510000006,24.4659462,97.19999695,0,0
2021-09-07 00:50 +08:00,20.0,52.04333496,75.16799927,26.493667600000002,10.17666626,3.466666698,432.7666626,0.0,0.005086000000574131,0.011389999999664724,0.0382499999996071,0.0,0.0,26.0,0.0,0.6376795,26.8837,1004.898376,26.39999962,1.0,8.388350487,0.425942749,463.8890686000001,24.4659462,97.79676056,0,0
2021-09-07 00:55 +08:00,20.0,53.51666641,72.64299774,26.22633362,12.94333363,3.866666555,454.8999938999999,0.0,0.004882999999608728,0.0097700000005716,0.03906000000097265,0.0,0.0,26.0,0.0,0.6376795,26.8837,1004.900024,26.29999924,1.0,93.37058258,0.370000005,463.2958374,24.4659462,97.69999695,0,0
2021-09-07 01:00 +08:00,20.0,55.08666611,71.26933289,26.25799942,14.93999958,4.099999905,498.53332520000004,0.0,0.005086000000119384,0.011389999999664724,0.0382499999996071,0.0,0.0,26.0,0.0,0.6376795,26.8837,1004.7999880000001,26.29999924,1.0,96.08514404,0.349999994,464.272583,24.4659462,97.20162201,0,0
2021-09-07 01:05 +08:00,21.53333282,59.49666595,73.54733276,26.50333405,13.68666649,4.099999905,551.9333496,0.0,0.00447600000006787,0.011389999999664724,0.036620000000766595,0.0,0.0,26.0,0.0,0.6376795,26.8837,1004.7999880000001,26.29999924,1.0,53.932231900000005,0.328060389,462.68957520000004,24.4659462,97.0,0,0
2021-09-07 01:10 +08:00,57.51724243,55.60689545,70.32551575,26.46758652,14.90689659,3.827586174,583.2069092,0.0,0.004475999999613123,0.0097700000005716,0.036619999998947605,0.0,0.0,26.1,0.0,0.6376795,26.8837,1004.7999880000001,26.29999924,1.0,63.04958344,0.7950176,462.7025757,24.4659462,96.80000305,0,0
